app_type;exe_time_ms;lang
pois;379;java
balanes;323;java
tools;43;java
pois;183;java
balanes;241;java
tools;30;java
pois;139;java
balanes;255;java
tools;29;java
pois;146;java
balanes;229;java
tools;31;java
pois;156;java
balanes;247;java
tools;28;java
pois;136;java
balanes;240;java
tools;29;java
pois;175;java
balanes;272;java
tools;31;java
pois;142;java
balanes;239;java
tools;28;java
pois;146;java
balanes;235;java
tools;33;java
pois;148;java
balanes;231;java
tools;30;java
pois;142;java
balanes;230;java
tools;29;java
pois;139;java
balanes;228;java
tools;29;java
pois;138;java
balanes;236;java
tools;29;java
pois;140;java
balanes;230;java
tools;30;java
pois;139;java
balanes;233;java
tools;28;java
pois;138;java
balanes;223;java
tools;27;java
pois;135;java
balanes;221;java
tools;29;java
pois;169;java
balanes;247;java
tools;32;java
pois;138;java
balanes;234;java
tools;32;java
pois;165;java
balanes;242;java
tools;33;java
pois;150;java
balanes;230;java
tools;33;java
pois;141;java
balanes;231;java
tools;27;java
pois;142;java
balanes;221;java
tools;29;java
pois;135;java
balanes;243;java
tools;29;java
pois;137;java
balanes;231;java
tools;28;java
pois;140;java
balanes;237;java
tools;32;java
pois;134;java
balanes;224;java
tools;29;java
pois;137;java
balanes;221;java
tools;28;java
pois;167;java
balanes;249;java
tools;34;java
pois;139;java
balanes;224;java
tools;30;java
pois;146;java
balanes;219;java
tools;30;java
pois;167;java
balanes;222;java
tools;29;java
pois;136;java
balanes;250;java
tools;28;java
pois;138;java
balanes;223;java
tools;29;java
pois;148;java
balanes;256;java
tools;34;java
pois;162;java
balanes;250;java
tools;34;java
pois;156;java
balanes;257;java
tools;32;java
pois;158;java
balanes;243;java
tools;31;java
pois;147;java
balanes;264;java
tools;35;java
pois;182;java
balanes;290;java
tools;36;java
pois;166;java
balanes;264;java
tools;35;java
pois;160;java
balanes;325;java
tools;39;java
pois;175;java
balanes;281;java
tools;35;java
pois;163;java
balanes;262;java
tools;32;java
pois;150;java
balanes;256;java
tools;32;java
pois;150;java
balanes;290;java
tools;37;java
pois;191;java
balanes;297;java
tools;36;java
pois;172;java
